id,roomNumber,free,date
1,81,false,2018-12-13
2,11,true,2018-01-01
2,820,true,2018-01-01
2,71,true,2018-03-03
2,84,false,2018-01-20
2,11,false,2018-01-28
2,81,false,2018-02-01
2,120,true,2018-01-01
2,120,false,2018-09-01
2,11,false,2018-01-10
2,11,false,2018-12-28
2,11,false,2018-06-20
2,71,false,2018-12-13
2,519,false,2018-01-01
2,12,true,2018-12-01
2,28,true,2018-03-03
2,11,false,2018-12-28
2,313,false,2018-01-03
2,81,true,2018-03-07
2,120,false,2018-01-23
2,11,true,2018-01-24
2,11,false,2018-03-06
2,120,true,2018-01-01
2,420,false,2018-07-28
2,120,false,2018-12-07
2,89,false,2018-01-08
2,11,false,2018-01-28
2,818,false,2018-05-16
2,89,false,2018-01-25
2,118,true,2018-03-23
2,113,false,2018-09-04
2,820,false,2018-09-01
2,81,true,2018-12-02
2,41,true,2018-01-26
2,820,true,2018-01-28
2,81,true,2018-09-28
2,120,true,2018-06-27
2,16,false,2018-12-08
2,31,true,2018-03-28
2,81,false,2018-12-01
2,21,false,2018-11-01
2,39,true,2018-04-28
2,117,false,2018-01-01
2,11,false,2018-11-01
2,11,true,2018-09-16
2,817,false,2018-09-04
2,114,false,2018-01-24
2,24,false,2018-07-14
2,811,false,2018-04-12
2,410,true,2018-01-01
2,81,true,2018-09-08
2,56,true,2018-01-19
2,110,true,2018-01-10
2,61,true,2018-01-01
2,420,false,2018-12-28
2,64,true,2018-01-01
2,17,false,2018-01-01
2,314,true,2018-07-01
2,11,true,2018-01-18
2,17,true,2018-01-01
2,816,false,2018-06-25
2,81,false,2018-09-07
2,720,true,2018-01-28
2,718,true,2018-08-24
2,64,false,2018-12-01
2,86,true,2018-11-06
2,11,false,2018-04-22
2,16,true,2018-12-25
2,71,true,2018-04-21
2,11,false,2018-01-01
2,817,true,2018-11-28
2,819,false,2018-01-24
2,11,false,2018-01-28
2,720,true,2018-01-01
2,31,false,2018-01-01
2,13,false,2018-12-20
2,120,true,2018-01-01
2,18,true,2018-11-17
2,810,false,2018-06-20
2,812,true,2018-09-01
2,17,false,2018-08-28
2,11,true,2018-10-06
2,31,false,2018-05-01
2,114,false,2018-12-01
2,61,false,2018-10-11
2,31,false,2018-05-24
2,41,true,2018-12-27
2,17,false,2018-08-21
2,79,true,2018-01-13
2,618,false,2018-02-01
2,816,true,2018-01-28
2,21,true,2018-10-28
2,21,true,2018-01-17
2,11,false,2018-04-12
2,81,true,2018-07-01
2,54,false,2018-12-16
