id,name,category,distance,address,lat,long
1,Palacio Real,Palacio,500.0,Palermo Italy,38.13205,13.33561
2,Palacio Romano,Palacio,346.73383,Palermo Italy,38.13205,13.33561
3,Igelesia Santa Clara,Igelesia,327.0027,Madrid Spain,40.489353,-3.6827462
3,Catedral Real,Catedral,105.06957,Sevilla Spain,37.39141,-5.9591775
3,Galeria Provincial,Galeria,500.0,Rome Italy,41.89193,12.51133
3,Parque Los Mostenses,Parque,174.33665,Estoril Portugal,38.70571,-9.39773
3,Puente Mayor,Puente,500.0,Rome Italy,41.89193,12.51133
3,Plaza San Roma,Plaza,1.0,Barcelona Spain,41.3818,2.1685
3,Ayuntamiento Los Mostenses,Ayuntamiento,500.0,Porto Portugal,41.14961,-8.61099
3,Galeria Romano,Galeria,270.99228,Bourdeaux France,44.84044,-0.5805
3,Parque Provincial,Parque,500.0,Salamanca Spain,40.955967,-5.6802244
3,Museo Los Mostenses,Museo,1.0,Lyon France,45.74846,4.84671
3,Sala Vieja,Sala,242.00731,Rome Italy,41.89193,12.51133
3,Parque Vieja,Parque,153.37303,Barcelona Spain,41.3818,2.1685
3,Catedral Romano,Catedral,0.1,Lisboa Portugal,38.71667,-9.13333
3,Puente San Roma,Puente,250.51254,Cascais Portugal,38.6979,-9.42146
3,Galeria Vieja,Galeria,0.1,Estoril Portugal,38.70571,-9.39773
3,Galeria Vieja,Galeria,1.0,Cascais Portugal,38.6979,-9.42146
3,Ayuntamiento Real,Ayuntamiento,500.0,Madrid Spain,40.489353,-3.6827462
3,Catedral Provincial,Catedral,462.50955,Milan Italy,45.46427,9.18951
3,Parque Romano,Parque,498.04068,Porto Portugal,41.14961,-8.61099
3,Ayuntamiento San Isidro,Ayuntamiento,318.17426,Lisboa Portugal,38.71667,-9.13333
3,Catedral San Isidro,Catedral,1.0,Milan Italy,45.46427,9.18951
3,Salon Mayor,Salon,500.0,Nantes France,47.21725,-1.55336
3,Parque Mayor,Parque,25.121305,Nice France,43.70313,7.26608
3,Palacio Santa Clara,Palacio,431.9874,Lyon France,45.74846,4.84671
3,Plaza Nueva,Plaza,51.485992,Paris France,48.85341,2.3488
3,Salon Nueva,Salon,20.905312,Estoril Portugal,38.70571,-9.39773
3,Ayuntamiento Provincial,Ayuntamiento,133.66734,Porto Portugal,41.14961,-8.61099
3,Igelesia Vieja,Igelesia,498.7857,Bourdeaux France,44.84044,-0.5805
3,Plaza Maldonado,Plaza,500.0,Sevilla Spain,37.39141,-5.9591775
3,Salon Mayor,Salon,0.1,Porto Portugal,41.14961,-8.61099
4,Palacio Real,Palacio,0.1,Nantes France,47.21725,-1.55336
5,Museo Nueva,Museo,0.1,Sevilla Spain,37.39141,-5.9591775
5,Museo Mayor,Museo,302.72675,Porto Portugal,41.14961,-8.61099
5,Galeria Nueva,Galeria,0.1,Florencia Italy,43.77925,11.24626
5,Plaza Provincial,Plaza,73.68898,Lisboa Portugal,38.71667,-9.13333
5,Galeria Santa Clara,Galeria,500.0,Estoril Portugal,38.70571,-9.39773
5,Catedral San Roma,Catedral,0.1,Paris France,48.85341,2.3488
5,Palacio San Roma,Palacio,350.0957,Valencia Spain,39.456116,-0.3545661
5,Ayuntamiento Romano,Ayuntamiento,467.60602,Sevilla Spain,37.39141,-5.9591775
5,Salon Nueva,Salon,1.0,Milan Italy,45.46427,9.18951
5,Palacio Mayor,Palacio,0.1,Bourdeaux France,44.84044,-0.5805
5,Parque Santa Clara,Parque,185.86678,Florencia Italy,43.77925,11.24626
